lr,momentum,init_range,n_hidden,epochs,final_mse
0.03,0.6,0.5,10,200,0.018323534795767645
0.07,0.0,0.5,10,200,0.019022485934494723
0.03,0.6,0.5,6,200,0.02006245850237757
0.07,0.0,0.5,6,200,0.02102020590715787
0.07,0.6,0.5,10,200,0.02997165389763828
0.03,0.0,0.5,10,200,0.06257071218901941
0.07,0.6,0.5,6,200,0.07982461376454504
0.07,0.0,0.2,6,200,0.08087185393703812
0.03,0.0,0.5,6,200,0.09107924098960161
0.01,0.6,0.5,10,200,0.09720156990828872
0.01,0.6,0.2,10,200,0.09749546204370756
0.01,0.6,0.5,6,200,0.10359781755403104
0.01,0.6,0.2,6,200,0.10959522226392032
0.03,0.0,0.2,6,200,0.10969844008702147
0.03,0.0,0.2,10,200,0.10989753275295155
0.01,0.0,0.5,10,200,0.11827692030249062
0.01,0.0,0.2,10,200,0.12065059285045741
0.01,0.0,0.5,6,200,0.12120307788052492
0.01,0.0,0.2,6,200,0.12124607472505408
0.03,0.6,0.2,10,200,0.24964393066913232
0.07,0.6,0.2,6,200,0.25450441836731114
0.07,0.0,0.2,10,200,0.25973333008496846
0.03,0.6,0.2,6,200,0.26119749762399136
0.07,0.6,0.2,10,200,0.2691325038071774
